Word	Org	Score	Deviation	Std	PoS
東京都	東京都	1	75.37	0	名詞
稲川淳二	稲川淳二	1	75.37	0	名詞
椎名林檎	椎名林檎	1.03	74.68	0.18	名詞
日経新聞	日経新聞	1.03	74.68	0.18	名詞
たこ焼き	たこ焼き	1.07	73.99	0.25	名詞
正露丸	正露丸	1.07	73.99	0.25	名詞
チロルチョコ	チロルチョコ	1.07	73.99	0.25	名詞
スイス	スイス	1.1	73.3	0.3	名詞
自宅	自宅	1.1	73.3	0.3	名詞
甲府	甲府	1.1	73.3	0.3	名詞
桜	桜	1.1	73.3	0.4	名詞
テキーラ	テキーラ	1.1	73.3	0.3	名詞
ペヤング	ペヤング	1.1	73.3	0.3	名詞
きゅうり	きゅうり	1.1	73.3	0.4	名詞
千円	千円	1.1	73.3	0.4	名詞
落花生	落花生	1.13	72.62	0.56	名詞
鳩山由紀夫	鳩山由紀夫	1.13	72.62	0.34	名詞
仙台	仙台	1.13	72.62	0.34	名詞
箱根	箱根	1.13	72.62	0.34	名詞
キツネ	キツネ	1.13	72.62	0.34	名詞
日本テレビ	日本テレビ	1.13	72.62	0.43	名詞
前髪	前髪	1.13	72.62	0.43	名詞
心斎橋	心斎橋	1.13	72.62	0.34	名詞
カントリーマアム	カントリーマアム	1.13	72.62	0.56	名詞
高橋大輔	高橋大輔	1.13	72.62	0.43	名詞
マレーシア	マレーシア	1.13	72.62	0.43	名詞
ハッピーターン	ハッピーターン	1.13	72.62	0.43	名詞
段ボール	段ボール	1.13	72.62	0.34	名詞
映画館	映画館	1.13	72.62	0.43	名詞
木村カエラ	木村カエラ	1.13	72.62	0.72	名詞
ポーランド	ポーランド	1.13	72.62	0.43	名詞
神奈川	神奈川	1.13	72.62	0.34	名詞
オバマ大統領	オバマ大統領	1.13	72.62	0.43	名詞
名古屋	名古屋	1.13	72.62	0.72	名詞
フランス	フランス	1.17	71.93	0.45	名詞
nike	NIKE	1.17	71.93	0.45	名詞
サンケイスポーツ	サンケイスポーツ	1.17	71.93	0.37	名詞
御茶ノ水	御茶ノ水	1.17	71.93	0.58	名詞
トイレ	トイレ	1.17	71.93	0.45	名詞
花粉症	花粉症	1.17	71.93	0.45	名詞
リンゴ	リンゴ	1.17	71.93	0.52	名詞
東京駅	東京駅	1.17	71.93	0.73	名詞
ヤマダ電機	ヤマダ電機	1.17	71.93	0.45	名詞
ヨドバシカメラ	ヨドバシカメラ	1.17	71.93	0.45	名詞
舌	舌	1.17	71.93	0.45	名詞
耳かき	耳かき	1.17	71.93	0.45	名詞
コアラ	コアラ	1.17	71.93	0.58	名詞
消しゴム	消しゴム	1.17	71.93	0.37	名詞
キムチ鍋	キムチ鍋	1.17	71.93	0.45	名詞
カニ	カニ	1.17	71.93	0.45	名詞
ノート	ノート	1.17	71.93	0.37	名詞
オーストリア	オーストリア	1.17	71.93	0.52	名詞
麻雀	麻雀	1.17	71.93	0.45	名詞
ぶどう	ぶどう	1.17	71.93	0.45	名詞
宮崎あおい	宮崎あおい	1.17	71.93	0.58	名詞
10000円	10000円	1.17	71.93	0.58	名詞
もののけ姫	もののけ姫	1.17	71.93	0.52	名詞
中島みゆき	中島みゆき	1.17	71.93	0.45	名詞
猫	猫	1.17	71.93	0.45	名詞
朝日新聞	朝日新聞	1.17	71.93	0.64	名詞
松岡修造	松岡修造	1.17	71.93	0.45	名詞
マヨネーズ	マヨネーズ	1.17	71.93	0.37	名詞
新横浜	新横浜	1.17	71.93	0.45	名詞
大相撲	大相撲	1.17	71.93	0.52	名詞
オーストラリア	オーストラリア	1.17	71.93	0.45	名詞
ヨーグルト	ヨーグルト	1.17	71.93	0.37	名詞
ラー油	ラー油	1.17	71.93	0.45	名詞
うどん	うどん	1.17	71.93	0.37	名詞
中指	中指	1.17	71.93	0.64	名詞
ブロッコリー	ブロッコリー	1.2	71.24	0.54	名詞
辞書	辞書	1.2	71.24	0.4	名詞
さつまいも	さつまいも	1.2	71.24	0.6	名詞
水着	水着	1.2	71.24	0.48	名詞
じゃがりこ	じゃがりこ	1.2	71.24	0.54	名詞
フィリピン	フィリピン	1.2	71.24	0.48	名詞
山手線	山手線	1.2	71.24	0.48	名詞
ベトナム	ベトナム	1.2	71.24	0.6	名詞
味噌汁	味噌汁	1.2	71.24	0.4	名詞
パンケーキ	パンケーキ	1.2	71.24	0.48	名詞
安藤美姫	安藤美姫	1.2	71.24	0.6	名詞
盛岡	盛岡	1.2	71.24	0.48	名詞
七草粥	七草粥	1.2	71.24	0.48	名詞
ジャンケン	ジャンケン	1.2	71.24	0.48	名詞
群馬	群馬	1.2	71.24	0.54	名詞
鯛焼	鯛焼	1.2	71.24	0.48	名詞
カップヌードル	カップヌードル	1.2	71.24	0.48	名詞
クリスマスツリー	クリスマスツリー	1.2	71.24	0.48	名詞
麦茶	麦茶	1.2	71.24	0.4	名詞
すいか	すいか	1.2	71.24	0.54	名詞
秋葉原	秋葉原	1.2	71.24	0.48	名詞
天皇	天皇	1.2	71.24	0.4	名詞
福島	福島	1.2	71.24	0.48	名詞
にんじん	にんじん	1.2	71.24	0.48	名詞
ビール	ビール	1.2	71.24	0.48	名詞
藤田まこと	藤田まこと	1.2	71.24	0.54	名詞
新宿駅	新宿駅	1.2	71.24	0.75	名詞
カーナビ	カーナビ	1.2	71.24	0.48	名詞
スウェーデン	スウェーデン	1.2	71.24	0.48	名詞
ノド	ノド	1.2	71.24	0.48	名詞
サントリー	サントリー	1.2	71.24	0.48	名詞
鳩山首相	鳩山首相	1.2	71.24	0.54	名詞
柿	柿	1.2	71.24	0.54	名詞
google日本語入力	google日本語入力	1.2	71.24	0.6	名詞
エレベーター	エレベーター	1.2	71.24	0.48	名詞
薬指	薬指	1.2	71.24	0.54	名詞
火曜	火曜	1.2	71.24	0.48	名詞
玄関	玄関	1.2	71.24	0.48	名詞
北海道	北海道	1.2	71.24	0.6	名詞
生卵	生卵	1.2	71.24	0.54	名詞
能登	能登	1.2	71.24	0.65	名詞
武蔵野線	武蔵野線	1.2	71.24	0.54	名詞
フジテレビ	フジテレビ	1.2	71.24	0.48	名詞
タモリ	タモリ	1.2	71.24	0.65	名詞
うまい棒	うまい棒	1.2	71.24	0.48	名詞
猿	猿	1.2	71.24	0.48	名詞
地球	地球	1.23	70.55	0.5	名詞
勝間和代	勝間和代	1.23	70.55	0.5	名詞
読売新聞	読売新聞	1.23	70.55	0.67	名詞
父	父	1.23	70.55	0.5	名詞
換気扇	換気扇	1.23	70.55	0.62	名詞
チーズ	チーズ	1.23	70.55	0.56	名詞
大江戸線	大江戸線	1.23	70.55	0.62	名詞
熱海	熱海	1.23	70.55	0.76	名詞
coco壱	coco壱	1.23	70.55	0.5	名詞
目覚まし時計	目覚まし時計	1.23	70.55	0.56	名詞
皮膚科	皮膚科	1.23	70.55	0.5	名詞
イチゴ	イチゴ	1.23	70.55	0.56	名詞
モノレール	モノレール	1.23	70.55	0.56	名詞
焼きそば	焼きそば	1.23	70.55	0.5	名詞
雪見だいふく	雪見だいふく	1.23	70.55	0.67	名詞
ダンボール	ダンボール	1.23	70.55	0.56	名詞
目玉焼き	目玉焼き	1.23	70.55	0.5	名詞
豆腐	豆腐	1.23	70.55	0.5	名詞
寿司屋	寿司屋	1.23	70.55	0.56	名詞
みなとみらい	みなとみらい	1.23	70.55	0.56	名詞
アーモンド	アーモンド	1.23	70.55	0.5	名詞
パンダ	パンダ	1.23	70.55	0.76	名詞
麻婆豆腐	麻婆豆腐	1.23	70.55	0.62	名詞
ハサミ	ハサミ	1.23	70.55	0.56	名詞
鼻	鼻	1.23	70.55	0.56	名詞
ディズニーランド	ディズニーランド	1.23	70.55	0.5	名詞
北斗の拳	北斗の拳	1.23	70.55	0.8	名詞
羽田空港	羽田空港	1.23	70.55	0.56	名詞
坂本龍馬	坂本龍馬	1.23	70.55	0.76	名詞
アボカド	アボカド	1.23	70.55	0.56	名詞
nhk	NHK	1.23	70.55	0.56	名詞
わかめ	わかめ	1.23	70.55	0.62	名詞
カーリング	カーリング	1.23	70.55	0.5	名詞
カリフォルニア	カリフォルニア	1.23	70.55	0.5	名詞
蓮舫	蓮舫	1.23	70.55	0.56	名詞
アップルパイ	アップルパイ	1.23	70.55	0.56	名詞
静岡	静岡	1.23	70.55	0.56	名詞
ショパン	ショパン	1.23	70.55	0.56	名詞
火星	火星	1.23	70.55	0.62	名詞
朝刊	朝刊	1.23	70.55	0.42	名詞
お好み焼き	お好み焼き	1.23	70.55	0.56	名詞
ローマ	ローマ	1.23	70.55	0.67	名詞
吉野家	吉野家	1.23	70.55	0.42	名詞
ハンバーグ	ハンバーグ	1.23	70.55	0.42	名詞
浅草	浅草	1.23	70.55	0.5	名詞
マンゴー	マンゴー	1.23	70.55	0.5	名詞
しいたけ	しいたけ	1.23	70.55	0.5	名詞
デンマーク	デンマーク	1.23	70.55	0.56	名詞
歯ブラシ	歯ブラシ	1.23	70.55	0.56	名詞
上村愛子	上村愛子	1.23	70.55	0.56	名詞
みりん	みりん	1.23	70.55	0.62	名詞
税務署	税務署	1.23	70.55	0.5	名詞
キン肉マン	キン肉マン	1.23	70.55	0.76	名詞
千葉県	千葉県	1.23	70.55	0.5	名詞
生姜	生姜	1.23	70.55	0.62	名詞
ニューヨーク	ニューヨーク	1.23	70.55	0.62	名詞
駐車場	駐車場	1.23	70.55	0.5	名詞
横浜	横浜	1.27	69.86	0.57	名詞
横浜駅	横浜駅	1.27	69.86	0.85	名詞
カロリーメイト	カロリーメイト	1.27	69.86	0.63	名詞
sony	SONY	1.27	69.86	0.73	名詞
相撲	相撲	1.27	69.86	0.57	名詞
nec	NEC	1.27	69.86	0.57	名詞
から揚げ	から揚げ	1.27	69.86	0.51	名詞
生クリーム	生クリーム	1.27	69.86	0.51	名詞
ピカチュウ	ピカチュウ	1.27	69.86	0.73	名詞
錦糸町	錦糸町	1.27	69.86	0.89	名詞
食パン	食パン	1.27	69.86	0.63	名詞
高知	高知	1.27	69.86	0.51	名詞
ゴジラ	ゴジラ	1.27	69.86	0.63	名詞
香水	香水	1.27	69.86	0.51	名詞
築地	築地	1.27	69.86	0.44	名詞
バルセロナ	バルセロナ	1.27	69.86	0.51	名詞
抱き枕	抱き枕	1.27	69.86	0.51	名詞
冷蔵庫	冷蔵庫	1.27	69.86	0.68	名詞
トースト	トースト	1.27	69.86	0.73	名詞
高円寺	高円寺	1.27	69.86	0.77	名詞
眼科	眼科	1.27	69.86	0.57	名詞
心臓	心臓	1.27	69.86	0.57	名詞
ジャマイカ	ジャマイカ	1.27	69.86	0.68	名詞
マグロ	マグロ	1.27	69.86	0.63	名詞
味噌ラーメン	味噌ラーメン	1.27	69.86	0.44	名詞
鳩	鳩	1.27	69.86	0.44	名詞
筋肉	筋肉	1.27	69.86	0.51	名詞
警視庁	警視庁	1.27	69.86	0.51	名詞
いす	いす	1.27	69.86	0.63	名詞
小林幸子	小林幸子	1.27	69.86	1	名詞
ゴキブリ	ゴキブリ	1.27	69.86	0.68	名詞
福山雅治	福山雅治	1.27	69.86	0.73	名詞
蛙	蛙	1.27	69.86	0.73	名詞
チキンラーメン	チキンラーメン	1.27	69.86	0.57	名詞
左足	左足	1.27	69.86	0.68	名詞
リボン	リボン	1.27	69.86	0.57	名詞
天ぷら	天ぷら	1.27	69.86	0.51	名詞
柚子	柚子	1.27	69.86	0.63	名詞
熊本	熊本	1.27	69.86	0.57	名詞
代官山	代官山	1.27	69.86	0.68	名詞
こんにゃく	こんにゃく	1.27	69.86	0.57	名詞
ストーブ	ストーブ	1.27	69.86	0.44	名詞
パソコン	パソコン	1.27	69.86	0.57	名詞
玉ねぎ	玉ねぎ	1.27	69.86	0.68	名詞
鯖	鯖	1.27	69.86	0.57	名詞
総務省	総務省	1.27	69.86	0.57	名詞
りんご	りんご	1.27	69.86	0.63	名詞
きなこ	きなこ	1.27	69.86	0.63	名詞
浅田真央	浅田真央	1.27	69.86	0.73	名詞
元旦	元旦	1.27	69.86	0.81	名詞
目薬	目薬	1.27	69.86	0.57	名詞
ドコモ	ドコモ	1.27	69.86	0.57	名詞
ダーツ	ダーツ	1.27	69.86	0.57	名詞
野球	野球	1.27	69.86	0.57	名詞
ビックカメラ	ビックカメラ	1.27	69.86	0.81	名詞
お餅	お餅	1.27	69.86	0.57	名詞
山形	山形	1.27	69.86	0.51	名詞
江ノ島	江ノ島	1.27	69.86	0.68	名詞
ブタ	ブタ	1.27	69.86	0.51	名詞
横須賀	横須賀	1.27	69.86	0.57	名詞
屋根	屋根	1.27	69.86	0.81	名詞
東京マラソン	東京マラソン	1.27	69.86	0.77	名詞
太陽	太陽	1.27	69.86	0.57	名詞
タコ焼き	タコ焼き	1.27	69.86	0.51	名詞
イタリア	イタリア	1.27	69.86	0.57	名詞
ごま油	ごま油	1.27	69.86	0.68	名詞
大手町	大手町	1.27	69.86	0.77	名詞
名刺	名刺	1.27	69.86	0.57	名詞
ポトフ	ポトフ	1.27	69.86	0.51	名詞
エクセル	エクセル	1.27	69.86	0.81	名詞
はちみつ	はちみつ	1.27	69.86	0.44	名詞
九州	九州	1.27	69.86	0.57	名詞
とんかつ	とんかつ	1.27	69.86	0.57	名詞
子ども手当	子ども手当	1.27	69.86	0.57	名詞
卵かけご飯	卵かけご飯	1.27	69.86	0.57	名詞
タバコ	タバコ	1.27	69.86	0.68	名詞
カレーライス	カレーライス	1.27	69.86	0.51	名詞
洗濯機	洗濯機	1.27	69.86	0.63	名詞
口	口	1.3	69.18	0.64	名詞
琵琶湖	琵琶湖	1.3	69.18	0.69	名詞
滋賀	滋賀	1.3	69.18	0.59	名詞
ポップコーン	ポップコーン	1.3	69.18	0.59	名詞
トマト	トマト	1.3	69.18	0.69	名詞
宇宙飛行士	宇宙飛行士	1.3	69.18	0.53	名詞
日テレ	日テレ	1.3	69.18	0.82	名詞
どこでもドア	どこでもドア	1.3	69.18	0.69	名詞
パスポート	パスポート	1.3	69.18	0.59	名詞
お母さん	お母さん	1.3	69.18	0.59	名詞
cd	CD	1.3	69.18	0.46	名詞
nhk教育	NHK教育	1.3	69.18	0.64	名詞
たこやき	たこやき	1.3	69.18	0.74	名詞
ニンニク	ニンニク	1.3	69.18	0.78	名詞
テレビ	テレビ	1.3	69.18	0.53	名詞
雪が降る	雪が降る	1.3	69.18	0.9	名詞
本棚	本棚	1.3	69.18	0.64	名詞
牛タン	牛タン	1.3	69.18	0.53	名詞
化粧水	化粧水	1.3	69.18	0.53	名詞
雲	雲	1.3	69.18	0.64	名詞
カルボナーラ	カルボナーラ	1.3	69.18	0.74	名詞
jr東日本	jr東日本	1.3	69.18	0.59	名詞
めざましテレビ	めざましテレビ	1.3	69.18	0.74	名詞
ハヤシライス	ハヤシライス	1.3	69.18	0.69	名詞
さだまさし	さだまさし	1.3	69.18	0.74	名詞
囲碁	囲碁	1.3	69.18	0.64	名詞
手羽先	手羽先	1.3	69.18	0.59	名詞
多摩川	多摩川	1.3	69.18	0.69	名詞
ほうれん草	ほうれん草	1.3	69.18	0.64	名詞
動物園	動物園	1.3	69.18	0.53	名詞
肩	肩	1.3	69.18	0.64	名詞
電子レンジ	電子レンジ	1.3	69.18	0.64	名詞
宇都宮	宇都宮	1.3	69.18	0.59	名詞
吉祥寺	吉祥寺	1.3	69.18	0.59	名詞
温泉	温泉	1.3	69.18	0.64	名詞
土曜	土曜	1.3	69.18	0.69	名詞
池袋	池袋	1.3	69.18	0.69	名詞
コロンビア	コロンビア	1.3	69.18	0.59	名詞
sunday	Sunday	1.3	69.18	0.46	名詞
歯医者	歯医者	1.3	69.18	0.64	名詞
バター	バター	1.3	69.18	0.59	名詞
ウニ	ウニ	1.3	69.18	0.69	名詞
ティッシュ	ティッシュ	1.3	69.18	0.46	名詞
ひらがな	ひらがな	1.3	69.18	0.82	名詞
トルコ	トルコ	1.3	69.18	0.64	名詞
茨城	茨城	1.3	69.18	0.59	名詞
ネクタイ	ネクタイ	1.3	69.18	0.59	名詞
六本木ヒルズ	六本木ヒルズ	1.3	69.18	0.74	名詞
眉毛	眉毛	1.3	69.18	0.64	名詞
バスケ	バスケ	1.3	69.18	0.59	名詞
電話番号	電話番号	1.3	69.18	0.59	名詞
石油	石油	1.3	69.18	0.59	名詞
初日の出	初日の出	1.3	69.18	0.64	名詞
年越しそば	年越しそば	1.3	69.18	0.64	名詞
銅メダル	銅メダル	1.3	69.18	0.69	名詞
五反田	五反田	1.3	69.18	0.86	名詞
東証	東証	1.3	69.18	0.64	名詞
セーラームーン	セーラームーン	1.3	69.18	0.59	名詞
学研	学研	1.3	69.18	0.78	名詞
japan	Japan	1.3	69.18	0.78	名詞
カピバラ	カピバラ	1.3	69.18	0.53	名詞
葛根湯	葛根湯	1.3	69.18	0.74	名詞
メロン	メロン	1.3	69.18	0.64	名詞
ハワイ	ハワイ	1.3	69.18	0.86	名詞
ドバイ	ドバイ	1.3	69.18	0.69	名詞
playstation	playstation	1.3	69.18	0.64	名詞
針	針	1.3	69.18	0.46	名詞
バンクーバーオリンピック	バンクーバーオリンピック	1.3	69.18	0.59	名詞
左目	左目	1.3	69.18	0.69	名詞
ラーメン	ラーメン	1.3	69.18	0.59	名詞
オリーブ	オリーブ	1.3	69.18	0.59	名詞
商店街	商店街	1.3	69.18	0.46	名詞
佐々木希	佐々木希	1.3	69.18	0.86	名詞
渋谷区	渋谷区	1.3	69.18	0.64	名詞
インコ	インコ	1.3	69.18	0.46	名詞
万年筆	万年筆	1.3	69.18	0.78	名詞
風船	風船	1.3	69.18	0.53	名詞
修学旅行	修学旅行	1.3	69.18	0.64	名詞
うなぎ	うなぎ	1.3	69.18	0.59	名詞
加湿器	加湿器	1.3	69.18	0.53	名詞
新橋	新橋	1.3	69.18	0.69	名詞
南アフリカ	南アフリカ	1.3	69.18	0.69	名詞
日曜日	日曜日	1.3	69.18	0.74	名詞
カメ	カメ	1.3	69.18	0.64	名詞
病院	病院	1.3	69.18	0.46	名詞
ラーメン屋	ラーメン屋	1.3	69.18	0.53	名詞
オリンピック	オリンピック	1.3	69.18	0.59	名詞
グアム	グアム	1.3	69.18	0.78	名詞
テレ東	テレ東	1.3	69.18	0.64	名詞
4人	4人	1.3	69.18	0.82	名詞
二階	二階	1.3	69.18	0.64	名詞
鉛筆	鉛筆	1.3	69.18	0.69	名詞
ピクルス	ピクルス	1.3	69.18	0.64	名詞
コーラ	コーラ	1.3	69.18	0.69	名詞
しじみ	しじみ	1.3	69.18	0.59	名詞
ひな祭り	ひな祭り	1.3	69.18	0.59	名詞
血管	血管	1.33	68.49	0.6	名詞
メロンパン	メロンパン	1.33	68.49	0.87	名詞
チベット	チベット	1.33	68.49	0.75	名詞
喉	喉	1.33	68.49	0.75	名詞
氷	氷	1.33	68.49	0.83	名詞
玄米	玄米	1.33	68.49	0.6	名詞
仮面ライダー	仮面ライダー	1.33	68.49	0.75	名詞
わさび	わさび	1.33	68.49	0.54	名詞
湘南	湘南	1.33	68.49	0.65	名詞
パナソニック	パナソニック	1.33	68.49	0.65	名詞
フットサル	フットサル	1.33	68.49	0.54	名詞
ドーナツ	ドーナツ	1.33	68.49	0.6	名詞
剣道	剣道	1.33	68.49	0.54	名詞
バームクーヘン	バームクーヘン	1.33	68.49	0.6	名詞
毛布	毛布	1.33	68.49	0.6	名詞
ポケットモンスター	ポケットモンスター	1.33	68.49	0.87	名詞
珈琲	珈琲	1.33	68.49	0.79	名詞
焼酎	焼酎	1.33	68.49	0.54	名詞
ゴリラ	ゴリラ	1.33	68.49	0.6	名詞
ピザ	ピザ	1.33	68.49	0.7	名詞
梅干	梅干	1.33	68.49	0.6	名詞
羊	羊	1.33	68.49	0.7	名詞
たけのこ	たけのこ	1.33	68.49	0.83	名詞
ビートルズ	ビートルズ	1.33	68.49	0.7	名詞
瞼	瞼	1.33	68.49	0.6	名詞
オバマ	オバマ	1.33	68.49	0.6	名詞
白鵬	白鵬	1.33	68.49	0.6	名詞
道路	道路	1.33	68.49	0.7	名詞
カレーうどん	カレーうどん	1.33	68.49	0.75	名詞
蜂	蜂	1.33	68.49	0.54	名詞
ブルーベリー	ブルーベリー	1.33	68.49	0.65	名詞
雷	雷	1.33	68.49	0.6	名詞
ジョギング	ジョギング	1.33	68.49	0.54	名詞
香港	香港	1.33	68.49	0.83	名詞
タマネギ	タマネギ	1.33	68.49	0.87	名詞
ゴルフ	ゴルフ	1.33	68.49	0.54	名詞
テニス	テニス	1.33	68.49	0.6	名詞
雑巾	雑巾	1.33	68.49	0.65	名詞
当日券	当日券	1.33	68.49	0.7	名詞
羊羹	羊羹	1.33	68.49	0.65	名詞
東京地検	東京地検	1.33	68.49	0.7	名詞
ボウリング	ボウリング	1.33	68.49	0.79	名詞
ふんどし	ふんどし	1.33	68.49	0.75	名詞
youtube	YouTube	1.33	68.49	0.79	名詞
矢印	矢印	1.33	68.49	0.65	名詞
毎日新聞	毎日新聞	1.33	68.49	0.91	名詞
ジャガイモ	ジャガイモ	1.33	68.49	0.65	名詞
馬	馬	1.33	68.49	0.6	名詞
キムヨナ	キムヨナ	1.33	68.49	0.7	名詞
犬	犬	1.33	68.49	0.7	名詞
栗	栗	1.33	68.49	0.65	名詞
村上春樹	村上春樹	1.33	68.49	0.87	名詞
ノートパソコン	ノートパソコン	1.33	68.49	0.83	名詞
旅館	旅館	1.33	68.49	0.6	名詞
歌舞伎町	歌舞伎町	1.33	68.49	0.65	名詞
ふぐ	ふぐ	1.33	68.49	0.65	名詞
和歌山	和歌山	1.33	68.49	0.83	名詞
インドネシア	インドネシア	1.33	68.49	0.7	名詞
たまごっち	たまごっち	1.33	68.49	0.7	名詞
カジノ	カジノ	1.33	68.49	0.65	名詞
京都駅	京都駅	1.33	68.49	0.75	名詞
toeic	TOEIC	1.33	68.49	0.83	名詞
江戸	江戸	1.33	68.49	0.54	名詞
カフェオレ	カフェオレ	1.33	68.49	0.65	名詞
トイレットペーパー	トイレットペーパー	1.33	68.49	0.91	名詞
有楽町	有楽町	1.33	68.49	0.6	名詞
縄	縄	1.33	68.49	0.6	名詞
空気清浄機	空気清浄機	1.33	68.49	0.75	名詞
キャベツ	キャベツ	1.33	68.49	0.65	名詞
あひる	あひる	1.33	68.49	0.7	名詞
熊	熊	1.33	68.49	0.6	名詞
サル	サル	1.33	68.49	0.6	名詞
エクレア	エクレア	1.33	68.49	0.7	名詞
焼き芋	焼き芋	1.33	68.49	0.6	名詞
ストリートビュー	ストリートビュー	1.33	68.49	0.54	名詞
トンボ	トンボ	1.33	68.49	0.65	名詞
トンカツ	トンカツ	1.33	68.49	0.65	名詞
旅人	旅人	1.33	68.49	0.54	名詞
ソフトバンク	ソフトバンク	1.33	68.49	0.54	名詞
ネコ	ネコ	1.33	68.49	0.6	名詞
大丸	大丸	1.33	68.49	0.87	名詞
茅ヶ崎	茅ヶ崎	1.33	68.49	0.7	名詞
小沢一郎	小沢一郎	1.33	68.49	0.7	名詞
バナナ	バナナ	1.33	68.49	0.79	名詞
pdf	PDF	1.33	68.49	0.65	名詞
羽田	羽田	1.33	68.49	0.6	名詞
お刺身	お刺身	1.33	68.49	0.7	名詞
赤ワイン	赤ワイン	1.33	68.49	0.6	名詞
生姜焼き	生姜焼き	1.33	68.49	0.79	名詞
豚	豚	1.33	68.49	0.54	名詞
イヌ	イヌ	1.33	68.49	0.65	名詞
イチロー	イチロー	1.33	68.49	0.65	名詞
父親	父親	1.33	68.49	0.7	名詞
エスカレーター	エスカレーター	1.33	68.49	0.83	名詞
横浜市	横浜市	1.33	68.49	0.83	名詞
アイロン	アイロン	1.33	68.49	0.54	名詞
枕	枕	1.33	68.49	0.54	名詞
ライオン	ライオン	1.33	68.49	0.65	名詞
トラ	トラ	1.33	68.49	0.65	名詞
赤坂	赤坂	1.33	68.49	0.6	名詞
しめじ	しめじ	1.33	68.49	0.6	名詞
椿	椿	1.33	68.49	0.79	名詞
銀座	銀座	1.33	68.49	0.83	名詞
軍隊	軍隊	1.37	67.8	0.6	名詞
カナダ	カナダ	1.37	67.8	0.55	名詞
父さん	父さん	1.37	67.8	0.48	名詞
埼玉県	埼玉県	1.37	67.8	1.02	名詞
レギンス	レギンス	1.37	67.8	0.75	名詞
姉妹	姉妹	1.37	67.8	0.6	名詞
家庭教師	家庭教師	1.37	67.8	0.48	名詞
図書館	図書館	1.37	67.8	0.84	名詞
年賀状	年賀状	1.37	67.8	0.66	名詞
facebook	Facebook	1.37	67.8	0.66	名詞
のび太	のび太	1.37	67.8	0.8	名詞
豚汁	豚汁	1.37	67.8	0.71	名詞
湯豆腐	湯豆腐	1.37	67.8	0.91	名詞
ブラジャー	ブラジャー	1.37	67.8	0.66	名詞
京都	京都	1.37	67.8	0.6	名詞
白衣	白衣	1.37	67.8	0.6	名詞
ラスク	ラスク	1.37	67.8	0.6	名詞
テレ朝	テレ朝	1.37	67.8	0.71	名詞
長靴	長靴	1.37	67.8	1.02	名詞
豆乳	豆乳	1.37	67.8	0.75	名詞
鯱	鯱	1.37	67.8	0.75	名詞
大根	大根	1.37	67.8	0.6	名詞
菊	菊	1.37	67.8	0.71	名詞
おしっこ	おしっこ	1.37	67.8	0.66	名詞
手のひら	手のひら	1.37	67.8	0.75	名詞
黒板	黒板	1.37	67.8	0.66	名詞
アルファベット	アルファベット	1.37	67.8	0.84	名詞
フィルム	フィルム	1.37	67.8	0.66	名詞
東京タワー	東京タワー	1.37	67.8	0.87	名詞
モーグル	モーグル	1.37	67.8	0.6	名詞
番組表	番組表	1.37	67.8	0.66	名詞
ボーリング	ボーリング	1.37	67.8	0.66	名詞
長女	長女	1.37	67.8	0.6	名詞
馬券	馬券	1.37	67.8	0.6	名詞
座布団	座布団	1.37	67.8	0.71	名詞
東京ドーム	東京ドーム	1.37	67.8	0.87	名詞
テレビ東京	テレビ東京	1.37	67.8	0.8	名詞
jリーグ	jリーグ	1.37	67.8	0.6	名詞
斧	斧	1.37	67.8	0.6	名詞
厨房	厨房	1.37	67.8	0.84	名詞
ピアス	ピアス	1.37	67.8	0.8	名詞
チャーハン	チャーハン	1.37	67.8	0.6	名詞
昆布	昆布	1.37	67.8	0.71	名詞
テキサス	テキサス	1.37	67.8	0.55	名詞
死体	死体	1.37	67.8	0.84	名詞
美容室	美容室	1.37	67.8	0.71	名詞
ヤフー	ヤフー	1.37	67.8	0.71	名詞
みかん	みかん	1.37	67.8	0.8	名詞
牛乳	牛乳	1.37	67.8	0.71	名詞
餃子	餃子	1.37	67.8	0.75	名詞
住宅	住宅	1.37	67.8	0.6	名詞
腕時計	腕時計	1.37	67.8	0.6	名詞
レバ刺し	レバ刺し	1.37	67.8	0.6	名詞
佐賀	佐賀	1.37	67.8	0.8	名詞
オムライス	オムライス	1.37	67.8	0.71	名詞
堀	堀	1.37	67.8	0.6	名詞
大根おろし	大根おろし	1.37	67.8	0.71	名詞
自動車	自動車	1.37	67.8	0.48	名詞
ウサギ	ウサギ	1.37	67.8	0.84	名詞
生ハム	生ハム	1.37	67.8	0.6	名詞
クリームシチュー	クリームシチュー	1.37	67.8	0.66	名詞
愛知県	愛知県	1.37	67.8	1.02	名詞
アメリカ	アメリカ	1.37	67.8	0.75	名詞
ソフトクリーム	ソフトクリーム	1.37	67.8	0.66	名詞
fish	fish	1.37	67.8	0.71	名詞
卵焼き	卵焼き	1.37	67.8	0.75	名詞
まぐろ	まぐろ	1.37	67.8	0.87	名詞
シナモン	シナモン	1.37	67.8	0.66	名詞
空手	空手	1.37	67.8	0.66	名詞
加ト吉	加ト吉	1.37	67.8	0.91	名詞
印刷所	印刷所	1.37	67.8	0.71	名詞
肛門	肛門	1.37	67.8	0.91	名詞
戦争	戦争	1.37	67.8	0.75	名詞
軍人	軍人	1.37	67.8	0.66	名詞
被告	被告	1.37	67.8	0.6	名詞
